EXPOCODE 33RO20071215 WHP-ID P18 CRUISE DATES 20071217 TO 20080216 20160216SIOCCHCBG                                                                                                                                                                                                  *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDPRS  CTDTMP  CTDSAL  CTDOXY  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12     SF6    CCL4  CHLORA     DOC  TRITUM  TRITER  HELIUM  HELIER  DELHE3  DELHER  DELC13  TCARBN  ALKALI    FCO2  PH_SWS  PH_TMP                 QUALT1
                                    DBAR  ITS-90  PSS-78 UMOL/KG  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG FMOL/KG PMOL/KG   UG/KG UMOL/KG      TU      TU NMOL/KG NMOL/KG  PERCNT  PERCNT  /MILLE UMOL/KG UMOL/KG    UATM           DEG C                      *
                         *******                         ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******         *******         *******         ******* ******* ******* ******* *******                              *
       2       1       3   11003   700.5  6.2063 34.5100     4.3 34.5106     3.8   81.10   38.80    0.02    3.15   0.029   0.015  0.0242  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2332.4  2343.7    -9.0  7.3321   25.00 3222666222299999992292
       2       1       2   11002   799.2  5.5222 34.5112     5.6 34.5112     5.8   90.40   41.10    0.02    3.20   0.019   0.009  0.0577  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2342.6  2351.8    -9.0  7.3275   25.00 2222666222299999992292
       2       1       1   11001   855.4  5.3732 34.5116     6.3 34.5134     4.8   92.70   41.50    0.02    3.21   0.017   0.007  0.0092  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2345.3  2354.6  2164.5  7.3296   25.00 2222222222299999996222
       3       1      24   11024     5.7 23.8456 34.7318   212.8 34.7316   212.9    2.10   -9.00    0.02    0.27   1.836   1.161  1.1031  -9.000   -9.00   73.80   0.674   0.008  1.7248  0.0048   -1.73    0.15    -9.0  2018.0  2316.2   334.0  8.0271   25.00 2222222266699222292222
       3       1      23   11023    21.3 23.3317 34.7579   212.9 34.8135   212.8    2.60    0.10    0.03    0.36   1.872   1.172  1.1520  -9.000   -9.00   73.50   0.657   0.008  1.7294  0.0048   -1.83    0.15    -9.0  2030.7  2319.9    -9.0  8.0114   25.00 2222222222299222292292
       3       1      22   11022    44.8 19.1762 34.1519   182.7 34.1460   199.0    4.80    2.50    0.36    0.56   2.389   1.439  1.2252  -9.000   -9.00   62.50   0.688   0.007  1.7620  0.0049   -1.01    0.15    -9.0  2066.8  2277.3    -9.0  7.8841   25.00 2222222222299222292292
       3       1      21   11021    70.3 14.6742 34.1097   109.7 34.1308    98.9   16.20   17.60    0.04    1.56   2.392   1.390  1.0147  -9.000   -9.00   -9.00   0.621   0.008  1.7897  0.0050    1.65    0.15    -9.0  2168.5    -9.0  1043.8  7.6084   25.00 2222222222299922292522
       3       1      20   11020    95.9 13.7779 34.2812    60.1 34.3078    56.5   22.30   22.90    0.03    2.00  -9.000  -9.000 -9.0000  -9.000   -9.00   49.40  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2222222299999299999999
       3       1      19   11019   121.4 12.8355 34.4471    37.2 34.4597    35.0   27.50   25.20    0.02    2.27   1.709   0.966  0.5925  -9.000   -9.00   -9.00   0.485   0.007  1.7881  0.0050    5.23    0.15    -9.0  2236.1  2281.1  1504.1  7.4606   25.00 2222222222299922292222
       3       1      18   11018   145.9 12.5714 34.6001    17.3 34.5962    20.8   30.80   25.70    0.02    2.42   1.282   0.734  0.4130  -9.000   -9.00   45.60   0.418   0.007  1.8186  0.0051    6.88    0.15    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2222222222299222299999
       3       1      17   11017   190.4 11.5577 34.5739    18.6 34.5828    17.4   33.50   26.60    0.03    2.47   1.051   0.593  0.2626  -9.000   -9.00   -9.00   0.385   0.007  1.8386  0.0051    7.81    0.15    -9.0  2258.2  1776.9    -9.0  7.4142   25.00 2222222222299922292492
       3       1      16   11016   240.4 11.3572 34.6879     4.9 34.6779     6.7   37.20   25.80    0.02    2.61   0.579   0.340  0.1883  -9.000   -9.00   44.10   0.249   0.007  1.8382  0.0051    8.20    0.15    -9.0  2274.4  2305.3    -9.0  7.4015   25.00 2222222222299222292292
       3       1      15   11015   305.9 10.2652 34.6236     4.4 34.6233     5.1   42.40   27.10    0.02    2.71   0.351   0.204  0.1392  -9.000   -9.00   42.80  -9.000  -9.000  1.8175  0.0051    8.75    0.15    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2222222222299292299999
       3       1      14   11014   381.0  9.2114 34.5720     4.4 34.5712     5.4   50.20   29.90    0.02    2.80   0.210   0.125  0.0339  -9.000   -9.00   41.50   0.130   0.006  1.8081  0.0051    9.12    0.15    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2222222222299222299999
       3       1      13   11013   460.6  8.2103 34.5387     3.9 34.5399     4.2   59.10   32.70    0.02    2.93  -9.000  -9.000 -9.0000  -9.000   -9.00   40.30   0.072   0.006  1.8428  0.0052    9.38    0.15    -9.0  2304.2  2323.8    -9.0  7.3301   25.00 2222222255599222292292
       3       1      12   11012   531.2  7.5050 34.5238     3.6 34.5268     3.9   66.60   34.90    0.02    3.02  -9.000  -9.000 -9.0000  -9.000   -9.00   39.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2314.0  2328.6    -9.0  7.3419   25.00 2222222299999299992292
       3       1      11   11010   625.8  6.5265 34.4906     4.7 34.4928     4.7   76.40   38.40    0.02    3.09   0.032   0.018  0.0496  -9.000   -9.00   38.20  -9.000  -9.000  1.8266  0.0051   12.11    0.15    -9.0  2325.1  2332.4    -9.0  7.3282   25.00 2222222222299292292292
       3       1      10   11011   726.9  5.7557 34.4856     6.3 34.4876     6.0   86.00   41.10    0.02    3.17  -9.000  -9.000 -9.0000  -9.000   -9.00   38.10  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2222222299999299999999
       3       1       9   11009   861.3  5.0679 34.5165     7.6 34.5190     7.4   98.50   42.70    0.02    3.22   0.013   0.005  0.0355  -9.000   -9.00   37.70   0.010   0.006  1.8816  0.0053   17.72    0.15    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2222222222299222299999
       3       1       8   11008  1015.4  4.5182 34.5352    11.5 34.5368    11.8  108.70   43.60    0.02    3.27   0.012   0.004  0.0187  -9.000   -9.00   37.50   0.022   0.007  1.8861  0.0053   19.76    0.15    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2222222222299222299999
       3       1       7   11007  1159.8  4.0192 34.5543    19.3 34.5562    20.1  117.50   44.20    0.02    3.25   0.012   0.004  0.0318  -9.000   -9.00   36.70   0.004   0.006  1.9141  0.0054   21.77    0.15    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2222222222299222299999
       3       1       6   11006  1316.6  3.5390 34.5729    30.8 34.5751    29.9  128.70   43.50    0.02    3.17   0.015   0.003  0.0250  -9.000   -9.00   35.50  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2222222222299299999999
       3       1       5   11005  1540.9  3.0492 34.5972    46.3 34.5993    45.8  138.30   43.00    0.02    3.07   0.012   0.005  0.0798  -9.000   -9.00   35.60  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2222222222299299999999
       3       1       4   11004  1899.5  2.4609 34.6261    70.7 34.6281    69.8  150.10   41.30    0.02    2.90   0.014   0.004  0.0405  -9.000   -9.00   35.30  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2222666222299299999999
       3       1       3   11003  2099.0  2.1684 34.6422    84.3 34.6447    84.2  155.30   40.30    0.02    2.78   0.010   0.004  0.0433   0.005   -9.00   35.20  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2222666222239299999999
       3       1       2   11002  2300.0  1.9920 34.6527    93.6 34.6543    94.3  159.20   39.70    0.02    2.72   0.008   0.006  0.0408   0.005   -9.00   34.90  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2222666222239299999999
       3       1       1   11001  2513.3  1.9063 34.6581    99.5 34.6615    98.8  160.80   39.40    0.02    2.67   0.009   0.008  0.0363   0.005   -9.00   35.50  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2366.4  2430.1  1454.6  7.4952   25.00 2222222266639299996222
       4       1      24   11024    15.3 24.2583 34.7144   209.7 34.7161    -9.0    2.00   -9.00    0.02    0.27   1.787   1.132  1.1409  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2016.7  2311.5    -9.0  8.0241   25.00 3229222222299999996292
       4       1      23   11023    29.2 24.2286 34.7049   209.9 34.7079   207.4    2.10    0.10    0.02    0.28   1.806   1.145  1.1077  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2016.2  2311.3    -9.0  8.0252   25.00 2222222266699999992292
       4       1      22   11022    54.3 18.3565 34.2240   163.7 34.2303   163.9    7.60    6.10    0.43    0.85   2.305   1.381  1.2197  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2101.1  2279.6    -9.0  7.8077   25.00 2222222222299999992292
       4       1      21   11021    79.5 15.2421 34.3671    72.9 34.3516    71.9   19.40   19.90    0.05    1.84   2.110   1.239  0.8791  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2197.0  2280.5    -9.0  7.5661   25.00 2222222222299999992292
       4       1      20   11020   105.2 13.5218 34.4292    39.9 34.4393    39.4   26.00   24.40    0.03    2.21   1.840   1.066  0.7044  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2233.4  2284.3    -9.0  7.4678   25.00 2222222222299999992292
       4       1      19   11019   130.4 12.7532 34.5180    25.5 34.5206    27.2   29.20   25.60    0.02    2.33   1.538   0.881  0.5342  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2245.9  2294.6    -9.0  7.4437   25.00 2222222222299999992292
       4       1      18   11018   159.7 12.0952 34.6208    13.7 34.6054    17.2   32.50   26.20    0.02    2.44   1.123   0.630  0.3371  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2256.1  2301.1    -9.0  7.4233   25.00 2222222222299999992292
