EXPOCODE 316N138_9   WHP-ID P16A/P17A     CRUISE DATES 080791 TO 112492    20030310WHPOSIODM                                                                                                                                                                                                   *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDPRS  CTDTMP  CTDSAL  CTDOXY   THETA  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12  DELHE3  HELIUM  TRITER  DELHER  TRITUM  TCARBN    PCO2  HELIER    NEON  NEONER PCO2TMP  DELC14  C14ERR  DELC13              QUALT1              QUALT2
                                    DBAR  ITS-90  PSS-78 UMOL/KG   DEG C  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG  PERCNT NMOL/KG      TU  PERCNT      TU UMOL/KG    UATM NMOL/KG NMOL/KG NMOL/KG   DEG_C  /MILLE  /MILLE  /MILLE                                       *
                         *******                 ******* *******         ******* ******* ******* ******* ******* ******* ******* ******* ******* *******                 ******* ******* *******         *******                 *******         *******                                       *
       1       1      29      29  3145.3  1.6771 34.6749   163.2  1.4423 34.6758   161.9  127.38   34.77    0.00    2.41  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2302.4  1142.8 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222225599922999 2222222225599922999
       1       1      30      30  3348.8  1.6049 34.6803   166.0  1.3515 34.6811   166.7  126.62   34.43    0.00    2.40  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2298.1  1135.9 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222225599922999 2222222225599922999
       1       1      31      31  3552.5  1.5515 34.6853   172.5  1.2786 34.6858   171.2  125.87   34.14    0.00    2.37   0.007   0.003 -999.00 -9.0000  -9.000   -9.00  -9.000  2293.3  1105.3 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222299922999 2222222222299922999
       1       1      32      32  3756.1  1.4858 34.6901   175.6  1.1934 34.6907   176.2  125.11   33.69    0.00    2.34  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2291.4  1103.1 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222225599922999 2222222225599922999
       1       1      33      33  3960.7  1.4497 34.6934   180.0  1.1365 34.6933   179.9  124.35   33.40    0.00    2.32  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2287.2  1103.2 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222225599922999 2222222225599922999
       1       1      34      34  4165.3  1.4285 34.6961   183.1  1.0934 34.6966   182.4  123.35   33.23    0.00    2.30  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2282.4  1094.2 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222225599922999 2222222225599922999
       1       1      35      35  4368.7  1.4069 34.6987   185.3  1.0497 34.6990   185.9  123.08   33.16    0.00    2.29   0.002   0.007 -999.00 -9.0000  -9.000   -9.00  -9.000  2283.6  1081.2 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222299922999 2222222222299922999
       1       1      36      36  4579.0  1.4173 34.6997   184.7  1.0357 34.7001   186.4  122.80   33.04    0.00    2.29   0.002   0.001 -999.00 -9.0000  -9.000   -9.00  -9.000  2279.6  1080.7 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222226699922999 2222222226699922999
       2       1       1       1     2.0 17.3134 35.3019   232.6 17.3130 35.3009   239.7    1.56    0.00    0.01    0.12   2.597   1.367 -999.00 -9.0000  -9.000   -9.00  -9.000  2029.0   351.8 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222226699922999 2222222226699922999
       2       1       2       2    37.7 17.1194 35.2996   241.7 17.1131 35.2989   239.7    1.54    0.00    0.01    0.12   2.595   1.341 -999.00 -9.0000  -9.000   -9.00  -9.000  2030.0   346.9 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222299922999 2222222222299922999
       2       1       3       3    78.4 16.9124 35.2968   223.4 16.8995 35.2979   239.5    1.52    0.00    0.01    0.12   2.641   1.384 -999.00 -9.0000  -9.000   -9.00  -9.000  2027.7   354.0 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222223299922999 2222222223299922999
       2       1       4       4   106.9 16.9014 35.3016   240.9 16.8838 35.2991   238.7    1.50    0.00    0.01    0.12   2.612   1.365 -999.00 -9.0000  -9.000   -9.00  -9.000  2027.8   355.8 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222299922999 2222222222299922999
       2       1       5       5   147.5 16.3364 35.2591   230.5 16.3127 35.2559   231.7    1.48    0.34    0.08    0.19   2.581   1.326 -999.00 -9.0000  -9.000   -9.00  -9.000  2040.1   376.1 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222299922999 2222222222299922999
       2       1       6       6   187.5 15.4875 35.2012   223.7 15.4584 34.8011   223.9    6.41   12.83    0.02    0.99  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000    -9.0    -9.0 -9.0000  -9.000  -9.000    -9.0  -999.0  -999.0   -9.00 3224444445599999999 3224444445599999999
       2       1       7       7   227.5 14.9866 35.1887   217.3 14.9521 35.1859   218.1    2.01    3.07    0.02    0.39   2.505   1.298 -999.00 -9.0000  -9.000   -9.00  -9.000  2066.5   431.2 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222299922999 2222222222299922999
       2       1       8       8   267.9 13.9667 35.0982   206.7 13.9280 35.0986   206.8    2.56    6.33    0.01    0.58  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2084.2   476.3 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222225599922999 2222222225599922999
       2       1       9       9   307.3 12.6790 34.9809   202.1 12.6373 -9.0000    -9.0   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000    -9.0    -9.0 -9.0000  -9.000  -9.000    -9.0  -999.0  -999.0   -9.00 9229999995599999999 9229999995599999999
       2       1      10      10   347.0 11.5124 34.8547   203.6 11.4681 34.8552   201.9    3.88   12.36    0.01    0.96   1.877   0.948 -999.00 -9.0000  -9.000   -9.00  -9.000  2107.7   579.6 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222299922999 2222222222299922999
       2       1      11      11   386.0 10.5107 34.7522   206.5 10.4642 34.7517   204.6    4.43   14.55    0.01    1.08   1.719   0.857 -999.00 -9.0000  -9.000   -9.00  -9.000  2112.1   620.3 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222226699922999 2222222226699922999
       2       1      12      12   443.3  8.8003 34.5594   221.5  8.7524 34.4858   218.9   13.96   21.26    0.01    1.51  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000    -9.0    -9.0 -9.0000  -9.000  -9.000    -9.0  -999.0  -999.0   -9.00 3224444445599999999 3224444445599999999
       2       1      13      13   502.6  7.8587 34.4791   226.9  7.8078 34.4783   230.9    6.30   19.43    0.01    1.39   1.720   0.849 -999.00 -9.0000  -9.000   -9.00  -9.000  2125.1   695.1 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222299922999 2222222222299922999
       2       1      14      14   553.9  7.4170 34.4435   236.3  7.3625 34.4415   237.8    6.67   20.24    0.01    1.44   1.666   0.825 -999.00 -9.0000  -9.000   -9.00  -9.000  2128.0   702.3 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222226699922999 2222222226699922999
       2       1      15      15   603.5  7.0801 34.4145   241.1  7.0221 34.4147   239.9    7.41   21.16    0.01    1.49   1.390   0.691 -999.00 -9.0000  -9.000   -9.00  -9.000  2126.1   712.2 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222299922999 2222222222299922999
       2       1      16      16   655.6  6.7433 34.3850   240.5  6.6817 34.3855   240.4    8.35   22.02    0.01    1.55   1.084   0.555 -999.00 -9.0000  -9.000   -9.00  -9.000  2130.1   722.1 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222299922999 2222222222299922999
       2       1      17      17   705.7  6.4864 34.3637   238.9  6.4213 34.3649   239.6    9.48   22.83    0.01    1.60  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2136.4   736.2 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222225599922999 2222222225599922999
       2       1      18      18   807.0  5.9097 34.3276   233.4  5.8383 34.3271   233.3   12.71   24.78    0.01    1.74   0.501   0.270 -999.00 -9.0000  -9.000   -9.00  -9.000  2144.6   775.6 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222299922999 2222222222299922999
       2       1      19      19   905.4  5.3800 34.3141   222.9  5.3029 34.3134   222.5   17.85   27.01    0.01    1.88   0.293   0.167 -999.00 -9.0000  -9.000   -9.00  -9.000    -9.0   836.3 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222226699992999 2222222226699992999
