EXPOCODE 316N138_9  WHP-ID P16A/P17A  DATES 100692-112592              20020417WHPOSIOSA                *
  STNNBR  CASTNO  BTLNBR  REVPRS  REVTMP  SALNTY  NITRAT  NITRIT  SILCAT  PHSPHT  DELC14  C14ERR   QUALT1
			    DBAR  ITS-90  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG  /MILLE  /MILLE        *                     
                 *******                 ******* ******* ******* ******* ******* *******                *
      56       3      47  2621.7  0.6200 34.7050   -9.00   -9.00  127.70   -9.00  -999.0    -9.0  2255259
      56       3      89  2622.2  0.6200 34.7040   -9.00   -9.00  127.90   -9.00  -160.2     4.0  2255252
      56       3      48  2824.8  0.5200 34.7020   -9.00   -9.00  129.00   -9.00  -999.0    -9.0  2255259
      56       3      90  2825.3  0.5200 34.7030   -9.00   -9.00  128.50   -9.00  -165.7     4.0  2255252
      56       3      49  3028.6  0.4300 34.7020   -9.00   -9.00  130.00   -9.00  -999.0    -9.0  2255259
      56       3      93  3029.1  0.4300 34.7030   -9.00   -9.00  129.80   -9.00  -156.7     4.0  2255252
      56       1      41  3288.6  0.3800 34.7020   -9.00   -9.00  132.20   -9.00  -999.0    -9.0  2255259
      56       1      81  3289.1  0.3800 34.7010   -9.00   -9.00  132.20   -9.00  -160.5     4.0  2255252
      56       1      42  3545.6  0.3100 34.7010   -9.00   -9.00  133.20   -9.00  -999.0    -9.0  2255259
      56       1      82  3546.1  0.3100 34.7020   -9.00   -9.00  133.10   -9.00  -150.4     4.0  2255252
      56       1      43  3802.5 -9.0000 34.7010   -9.00   -9.00   -9.00   -9.00  -999.0    -9.0  2255559
      56       1      83  3803.0 -9.0000 34.7010   -9.00   -9.00   -9.00   -9.00  -157.2     4.0  2255552
      56       1      44  4059.3  0.2200 34.7010   -9.00   -9.00  130.40   -9.00  -999.0    -9.0  2255259
      56       1      84  4059.8  0.2200 34.7000   -9.00   -9.00  130.30   -9.00  -153.4     4.0  2255252
      56       1      45  4315.7 -9.0000 34.7010   -9.00   -9.00   -9.00   -9.00  -999.0    -9.0  2255559
      56       1      85  4316.2 -9.0000 34.7010   -9.00   -9.00   -9.00   -9.00  -154.0     4.0  2255552
      56       1      47  4571.7  0.2500 34.7000   -9.00   -9.00  130.50   -9.00  -999.0    -9.0  2255259
      56       1      87  4572.2  0.2500 34.7000   -9.00   -9.00  130.40   -9.00  -153.3     4.0  2255252
      56       1      46  4827.1  0.2800 34.7000   -9.00   -9.00  129.20   -9.00  -999.0    -9.0  2255359
      56       1      89  4827.6  0.2800 34.7000   -9.00   -9.00  130.70   -9.00  -153.8     4.0  2255252
      56       1      48  5081.9  0.3000 34.7010   -9.00   -9.00  130.90   -9.00  -999.0    -9.0  2255259
      56       1      90  5082.4  0.3000 34.7000   -9.00   -9.00  131.00   -9.00  -152.5     4.0  2255252
      56       1      49  5335.8  0.3300 34.7010   -9.00   -9.00  131.00   -9.00  -999.0    -9.0  2255259
      56       1      93  5336.3  0.3300 34.7010   -9.00   -9.00  131.00   -9.00  -154.2     4.0  2255252
      73       1      41  1600.7  1.7900 34.7350   -9.00   -9.00   92.90   -9.00  -999.0    -9.0  2255259
      73       1      81  1601.2  1.7900 34.7350   -9.00   -9.00   92.90   -9.00  -154.1     4.0  2255252
      73       1      42  1801.7  1.6100 34.7370   -9.00   -9.00   97.60   -9.00  -999.0    -9.0  2255259
      73       1      82  1802.2  1.6100 34.7370   -9.00   -9.00   97.60   -9.00  -152.1     4.0  2255252
      73       1      43  2003.9  1.4500 34.7340   -9.00   -9.00  102.80   -9.00  -999.0    -9.0  2255259
      73       1      83  2004.4  1.4500 34.7340   -9.00   -9.00  102.90   -9.00  -163.0     4.0  2255252
      73       1      44  2206.4  1.3000 34.7290   -9.00   -9.00  107.50   -9.00  -999.0    -9.0  2255259
      73       1      84  2206.9  1.3000 34.7280   -9.00   -9.00  107.70   -9.00  -157.8     4.0  2255252
      73       1      45  2409.3  1.1700 34.6010   -9.00   -9.00   76.70   -9.00  -999.0    -9.0  4455459
      73       1      85  2409.8  1.1700 34.7240   -9.00   -9.00  111.40   -9.00  -160.4     4.0  2255252
      73       1      46  2612.5  1.0900 34.7190   -9.00   -9.00  115.20   -9.00  -999.0    -9.0  2255259
      73       1      87  2613.0  1.0900 34.7200   -9.00   -9.00  115.40   -9.00  -156.9     4.0  2255252
      73       1      47  2816.0  1.0100 34.7170   -9.00   -9.00  117.50   -9.00  -999.0    -9.0  2255259
      73       1      89  2816.5  1.0100 34.7170   -9.00   -9.00  117.90   -9.00  -152.1     4.0  2255252
      73       1      48  3021.1  0.9300 34.7140   -9.00   -9.00  120.10   -9.00  -999.0    -9.0  2255259
      73       1      90  3021.6  0.9300 34.7140   -9.00   -9.00  120.70   -9.00  -154.8     4.0  2255252
      73       1      49  3214.3  0.8300 34.7100   -9.00   -9.00  123.10   -9.00  -999.0    -9.0  2255259
      73       1      93  3214.8  0.8300 34.7110   -9.00   -9.00  122.80   -9.00  -158.7     4.0  2255252
      80       3      41  1603.3  2.5800 34.5550   -9.00   -9.00   76.10   -9.00  -999.0    -9.0  2255259
      80       3      81  1603.8  2.5800 34.5540   -9.00   -9.00   75.80   -9.00  -152.0     4.0  2255252
