EXPOCODE 33RR20050106 WHP-ID P16S CRUISE DATES 20050110 TO 20050211 20150511SIOCCHCBG                                                                                                                                                                       *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDPRS  CTDTMP  CTDSAL  CTDOXY  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12  CFC113     DOC  TRITUM  TRITER  HELIUM  HELIER  DELHE3  DELHER  DELC14  C14ERR  DELC13  TCARBN  ALKALI               QUALT1
                                    DBAR  ITS-90  PSS-78 UMOL/KG  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG PMOL/KG UMOL/KG      TU      TU NMOL/KG NMOL/KG  PERCNT  PERCNT  /MILLE  /MILLE  /MILLE UMOL/KG UMOL/KG                    *
                         *******                 ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******         *******         *******         *******         ******* ******* *******                    *
       2       1      20      20   947.5  4.1670 34.4917   149.5 34.4924   144.7   64.19   35.19   -9.00    2.48   0.075   0.111  -9.000   38.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2248.0  2329.3 22422222222229999922
       2       1      19      19  1048.1  3.7480 34.5175   145.5 34.5205   141.9   74.63   35.74   -9.00    2.52   0.212   0.080   0.004   39.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2261.8  2342.4 22422222244429999922
       2       1      18      18  1148.7  3.4876 34.5374   140.8 34.5382   140.4   81.26   36.06   -9.00    2.55   0.036   0.064  -9.000   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2269.4  2349.4 22422222223299999926
       2       1      17      17  1249.3  3.3071 34.5462   141.7 34.5439   141.9   85.10   36.06   -9.00    2.59   0.178   0.057   0.025   39.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2272.2  2352.3 22322222244429999922
       2       1      16      16  1349.7  3.0761 34.5588   142.2 34.5584   144.0   89.82   36.06   -9.00    2.55   0.016   0.029  -9.000   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2266.3  2357.5 22322222223299999932
       2       1      15      15  1450.7  2.8900 34.5739   143.5 34.5738   144.5   94.96   36.11   -9.00    2.55   0.025   0.042  -9.000   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2294.2  2362.9 22322222233299999932
       2       1      14      14  1551.2  2.6549 34.5908   145.4 34.5911   146.4  100.75   36.05   -9.00    2.54   0.011   0.039  -9.000   36.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2289.1  2369.6 22322222223229999922
       2       1      13      13  1652.1  2.4600 34.6063   148.3 34.6072   147.9  106.11   36.05   -9.00    2.53   0.033   0.073  -9.000   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2293.6  2376.6 22322222233299999922
       2       1      12      12  1753.0  2.3390 34.6176   146.6 34.6146   148.6   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000  -9.000   36.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2295.8  2378.9 22322999944429999922
       2       1      11      11  1854.2  2.2393 34.6264   148.2 34.6248   149.3  112.35   36.05   -9.00    2.53   0.041   0.083  -9.000   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2298.1  2382.5 22322222233299999922
       2       1      10      10  2116.7  2.0249 34.6451   151.3 34.6441   151.8  118.37   35.87   -9.00    2.53   0.001   0.016  -9.000   35.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2302.4  2389.2 22322222223229999922
       2       1       9       9  2369.6  1.8979 34.6564   148.4 34.6559   154.1  122.02   35.76   -9.00    2.51   0.005   0.011  -9.000   36.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2306.4  2393.1 22422222222229999962
       2       1       8       8  2623.0  1.7975 34.6663   154.7 34.6663   155.8  125.26   35.70   -9.00    2.50  -9.000  -9.000  -9.000   36.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2307.5  2396.8 22322222244429999922
       2       1       7       7  2876.3  1.6928 34.6743   159.7 34.6746   160.6  126.55   35.37   -9.00    2.48   0.014   0.040  -9.000   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2306.6  2397.1 22322222223299999922
       2       1       6       6  3130.2  1.6228 34.6796   164.1 34.6782   165.0  125.91   35.10   -9.00    2.45   0.001   0.040  -9.000   37.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2303.6  2395.3 22322222223229999922
       2       1       5       5  3383.9  1.5567 34.6841   171.2 34.6841   171.5  124.19   34.60   -9.00    2.42   0.011   0.041  -9.000   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2295.5  2387.9 22322222223299999922
       2       1       4       4  3638.3  1.4820 34.6900   173.8 34.6933   176.9  123.32   34.22   -9.00    2.39   0.002   0.008  -9.000   37.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2291.0  2385.2 22342222222229999922
       2       1       3       3  3842.1  1.4629 34.6926   178.2 34.6930   179.1  122.90   34.05   -9.00    2.37   0.001   0.047  -9.000   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2290.0  2385.0 22322222223299999922
       2       1       2       2  4097.1  1.4692 34.6938   179.2 34.6928   179.4  122.89   33.99   -9.00    2.37  -0.005   0.040  -9.000   37.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2287.6  2384.1 22322222223229999922
       2       1       1       1  4273.3  1.4786 34.6943   182.5 34.6940   181.8  122.68   33.93   -9.00    2.37   0.004   0.020  -9.000   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2287.2  2383.3 22322222223299999966
       3       1      35      35     2.9 28.6882 36.1298   112.4 36.1294   197.1    0.64    0.26   -9.00    0.16   1.528   0.947   0.102   75.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    63.8     3.4    -9.0  2011.6  2373.2 22422222222229992562
       3       1      36      36     3.0 28.6869 36.1300   112.4 -9.0000   196.8   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000  -9.000   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0  2371.9 22492999999999999992
       3       1      34      34    45.0 27.2881 36.2342   116.4 36.2283   204.4    0.43    0.06   -9.00    0.18   1.638   1.019   0.128   73.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2021.1  2379.9 22422222222229999922
       3       1      33      33    90.1 25.8564 36.2220   118.7 36.2224   205.3    0.64    3.53   -9.00    0.18   1.717   1.070   0.136   71.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    72.6     3.7    -9.0  2026.1  2380.2 22422222222229992522
       3       1      32      32   140.2 24.3955 35.9101   120.5 35.9144   199.1    0.43    0.17   -9.00    0.18   1.816   1.125   0.114   67.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2025.8  2357.8 22422222222229999922
       3       1      31      31   189.8 22.8601 35.9797   129.5 35.9791   174.6    0.64    2.08    0.05    0.36   1.975   1.181   0.084   54.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    95.3     3.3    -9.0  2069.9  2360.3 22422222222229992522
       3       1      30      30   239.4 20.6643 35.7963   148.8 35.7964   174.6    0.64    3.62    0.01    0.45   2.133   1.252   0.030   51.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2084.9  2348.8 22422222222229999922
       3       1      29      29   289.7 16.1289 35.2333   164.5 35.2326   176.2    2.31    7.94   -9.00    0.72   2.253   1.244   0.014   47.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    84.4     3.8    -9.0  2101.5  2313.9 22422222222229992522
       3       1      28      28   340.0 13.9395 34.9662   168.6 34.9583   169.3    4.40   11.90   -9.00    1.03   2.082   1.132   0.012   45.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2119.3  2298.7 22422222222229999922
       3       1      27      27   389.9 11.3142 34.7082   170.0 34.7086   156.9    7.97   18.09   -9.00    1.43   1.658   0.888   0.010   44.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    51.6     3.5    -9.0  2147.1  2286.6 22422222222229992562
       3       1      26      26   440.1  9.9610 34.5949   166.8 34.5906   147.2   11.54   22.30   -9.00    1.71   1.311   0.719   0.010   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2166.2  2284.4 22422222222299999922
       3       1      25      25   489.9  8.6453 34.5111   163.7 34.5116   152.6   14.48   25.10   -9.00    1.86   1.085   0.566   0.008   43.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -4.7     3.3    -9.0  2176.1  2282.4 22422222222229992522
       3       1      24      24   575.6  6.5995 34.4257   160.3 34.4259   160.8   23.95   29.50   -9.00    2.11   0.561   0.291  -9.000   41.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00   -60.7     3.1    -9.0  2194.9  2290.0 22322222222229992522
       3       1      23      23   675.6  5.5043 34.4255   154.2 34.4234   154.3   35.79   32.55   -9.00    2.30   0.227   0.140  -9.000   39.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00   -93.3     2.8    -9.0  2214.8  2300.0 22322222222229992522
       3       1      22      22   776.1  4.8281 34.4561   148.8 34.4561   148.6   49.58   33.89   -9.00    2.41   0.083   0.054  -9.000   39.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00  -129.8     2.9    -9.0  2234.1  2314.1 22322222222229992522
       3       1      21      21   876.6  4.3278 34.4780   146.5 34.4806   146.8   59.37   34.63   -9.00    2.46   0.040   0.040  -9.000   37.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00  -147.6     3.2    -9.0  2243.0  2324.7 22322222222229992522
       3       1      20      20   977.2  3.9909 34.4959   144.3 34.4981   145.2   66.84   35.11   -9.00    2.50   0.108   0.139  -9.000   36.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00  -159.8     2.4    -9.0  2251.6  2333.0 22322222233229992522
       3       1      19      19  1077.6  3.5845 34.5193   144.2 34.5186   145.3   75.60   35.60   -9.00    2.52   0.014   0.015  -9.000   36.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00  -178.1     2.8    -9.0  2262.3  2341.4 22322222222229992522
       3       1      18      18  1178.1  3.3133 34.5372   144.0 34.5392   145.5   82.24   35.71   -9.00    2.53   0.083   0.107  -9.000   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00  -185.1     4.0    -9.0  2268.8  2349.5 22322222233299992526
