EXPOCODE 31WTTUNES_2 WHP-ID P16S/P17S DATES 083191 TO 100191                20020416WHPOSIOSA
  STNNBR  CASTNO  BTLNBR  REVPRS  REVTMP  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSHHT  DELC14  C14ERR  DELC13    QUALT1
                            DBAR  ITS-90  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG    0/00    0/00    0/00         * 
                 *******                 ******* ******* ******* ******* ******* ******* *******         *******         *
     166       1      85   449.4   8.76   34.484    -9.0     7.2    -9.0    -9.0   -9.00    15.4     3.3     0.6 229299922
     166       1      44   744.    6.01   34.316    -9.0    12.7    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     166       1      87   744.5   6.01   34.321    -9.0    12.9    -9.0    -9.0   -9.00   -39.8     3.2     0.5 229299922
     166       1      45  1120.9   3.84   34.404    -9.0    53.6    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     166       1      89  1121.4   3.84   34.433    -9.0    57.7    -9.0    -9.0   -9.00  -139.1     3.6     0.  249299922
     166       3      47  1406.4   2.89   34.528    -9.0    84.1    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     166       3      81  1406.9   2.89   34.527    -9.0    84.8    -9.0    -9.0   -9.00  -177.8     3.     -0.2 229299922
     166       3      42  1545.2   2.65   34.556    -9.0    92.8    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     166       3      87  1545.7   2.65   34.557    -9.0    93.     -9.0    -9.0   -9.00  -182.5     3.     -0.3 229299922
     166       3      44  1700.7   2.34   34.596    -9.0   104.3    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     166       3      83  1701.2   2.34   34.596    -9.0   104.3    -9.0    -9.0   -9.00  -200.      3.     -0.2 229299922
     166       3      45  1946.9   2.1    34.628    -9.0   116.1    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     166       3      84  1947.4   2.1    34.63     -9.0   115.6    -9.0    -9.0   -9.00  -210.5     2.9    -0.4 229299922
     166       3      41  2398.9   1.85   34.654    -9.0   124.5    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     166       3      90  2399.4   1.85   34.652    -9.0   123.8    -9.0    -9.0   -9.00  -211.6     2.2    -0.5 229299922
     166       1      43  2434.3   1.85   34.652    -9.0   123.8    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     166       1      90  2434.8   1.85   34.655    -9.0   124.5    -9.0    -9.0   -9.00  -210.5     2.9    -0.6 229299922
     166       3      93  2619.5   1.78   34.66     -9.0   124.9    -9.0    -9.0   -9.00  -216.3     3.2    -0.6 229299922
     166       1      42  2637.4   1.78   34.662    -9.0   126.1    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     166       1      93  2637.9   1.78   34.662    -9.0   126.1    -9.0    -9.0   -9.00  -206.9     3.     -0.3 229299922
     166       1      41  2777.3   1.73   34.667    -9.0   125.6    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     166       1      94  2777.8   1.73   34.668    -9.0   124.8    -9.0    -9.0   -9.00  -210.1     3.     -0.2 229299922
     166       3      48  2906.7   1.672  34.669    -9.0   126.2    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     166       3      94  2907.2   1.672  34.67     -9.0   126.2    -9.0    -9.0   -9.00  -211.2     2.9    -0.4 229299922
     172       4      49     4.   -9.000  35.391    -9.0    -9.0    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229599999
     172       4      90     4.5  -9.000  33.421    -9.0    -9.0    -9.0    -9.0   -9.00   127.4     3.5     0.8 229599922
     172       3      85  1236.8  -9.000  34.45     -9.0    -9.0    -9.0    -9.0   -9.00  -153.5     4.3     0.  229599922
     172       2      99  1287.4   3.175  34.469   165.6    68.3    34.7     0.     2.42  -999.0    -9.0    -0.1 222222292
     172       3      41  1486.5   2.71   34.539    -9.0    87.     34.9     0.     2.44  -999.0    -9.0    -9.0 229222299
     172       3      81  1487.    2.71   34.54     -9.0    86.3    34.9     0.     2.42  -177.7     3.1    -0.3 229222222
     172       3      42  1738.4   2.33   34.595    -9.0   103.5    35.1     0.     2.47  -999.0    -9.0    -9.0 229222299
     172       3      83  1738.9   2.33   34.599    -9.0   104.3    35.3     0.     2.46  -198.2     2.8    -0.4 229222222
     172       3      43  1988.9   2.12   34.624    -9.0   114.8    35.4     0.     2.5   -999.0    -9.0    -9.0 229222299
     172       3      84  1989.4   2.12   34.627    -9.0   115.     35.4     0.     2.46  -216.4     2.8    -0.8 229222222
     172       3      45  2242.1   1.97   34.644    -9.0   122.1    35.4     0.     2.51  -999.0    -9.0    -9.0 229222299
     172       3      87  2242.6   1.97   34.643    -9.0   121.2    35.4     0.     2.48  -211.8     4.1    -0.5 229222222
     172       3      44  2494.8   1.85   34.654    -9.0   125.6    35.4     0.     2.51  -999.0    -9.0    -9.0 229222299
     172       3      89  2495.3   1.85   34.655    -9.0   125.6    35.4     0.     2.46  -215.7     2.9    -0.6 229222222
     172       3      47  2747.9   1.75   34.664    -9.0   127.4    35.1     0.     2.48  -999.0    -9.0    -9.0 229222299
     172       3      93  2748.4   1.75   34.665    -9.0   127.5    35.2     0.     2.44  -216.6     2.9    -0.6 229222222
     172       1      45  2991.8   1.65   34.672    -9.0   127.9    34.9     0.     2.4   -999.0    -9.0    -9.0 229222299
     172       1      83  2992.3   1.65   34.672    -9.0   128.3    35.1     0.     2.42  -207.2     2.9    -0.3 229222222
     172       1      43  3240.4   1.6    34.677    -9.0   127.7    34.7     0.     2.39  -999.0    -9.0    -9.0 229222299
     172       1      84  3240.9   1.6    34.678    -9.0   127.5    34.6     0.     2.39  -205.8     2.7    -0.4 229222222
     172       1      42  3492.9  -9.000  34.684    -9.0    -9.0    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229599999
     172       1      87  3493.4  -9.000  34.685    -9.0    -9.0    -9.0    -9.0   -9.00  -207.1     2.5    -0.2 229599922
     172       1      41  3751.6   1.5    34.689    -9.0   126.3    34.1     0.     2.37  -999.0    -9.0    -9.0 229222299
