EXPOCODE 31WTTUNES_2   WHP-ID P17S,P16S    CRUISE DATES 071691 - 082591 20040408WHPOSIOSA                                                                                                                                                                                              *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDPRS  CTDTMP  CTDSAL  CTDOXY   THETA  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12  TRITUM  DELHE3  HELIUM  DELC14  TCARBN  ALKALI    PCO2 PCO2TMP  TRITER  DELHER  HELIER  C14ERR  DELC13              QUALT1              QUALT2
                                    DBAR  ITS-90  PSS-78 UMOL/KG   DEG C  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG      TU  PERCNT NMOL/KG  /MILLE UMOL/KG UMOL/KG    UATM   DEG C      TU  PERCNT NMOL/KG  /MILLE  /MILLE                                       *
                         *******                 ******* *******         ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******                                         *******                                       *
     125       1      28      28  2975.9  1.6989 34.6769   145.3  1.4800 -9.0000   146.5  143.29   36.07    0.00    2.54  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2229222229999999999 2229222229999999999
     125       1      29      29  3179.7  1.6019 34.6811   149.2  1.3654 34.6833   149.4  146.12   35.87    0.01    2.52  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999999999 2222222229999999999
     125       1      30      30  3380.1  1.5380 34.6850   154.7  1.2830 34.6853   154.7  144.85   35.58    0.00    2.49  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999999999 2222222229999999999
     125       1      31      31  3579.5  1.4910 34.6873   158.0  1.2169 34.6883   157.7  144.85   35.28    0.00    2.45  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999999999 2222222229999999999
     125       1      32      32  3779.8  1.4570 34.6903   161.6  1.1629 34.6890   163.1  142.41   35.09    0.00    2.44  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999999999 2222222229999999999
     125       1      33      33  3979.4  1.4261 34.6930   168.6  1.1114 34.6926   168.3  139.87   34.70    0.00    2.41   0.002   0.000  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222222299999999 2222222222299999999
     125       1      34      34  4181.1  1.4161 34.6947   170.8  1.0796 34.6952   171.6  138.21   34.40    0.00    2.39   0.003   0.012  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222222399999999 2222222222399999999
     125       1      35      35  4381.2  1.4291 34.6962   173.5  1.0698 34.6944   172.0  137.72   34.31    0.00    2.38  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999999999 2222222229999999999
     125       1      36      36  4536.4  1.4410 34.6961    -9.0  1.0636 34.6944   172.3  137.72   34.11    0.01    2.38  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2292222229999999999 2292222229999999999
     126       1       1       1     0.2 27.5440 35.1768   208.6 27.5439 35.1829   211.0    2.41    4.12    0.06    0.49   1.625   0.940   1.080   -0.84  1.7670  -999.0    -9.0    -9.0   291.5   20.00   0.012    0.15  0.0080  -999.0   -9.00 2232222222822295929 2232222222222295929
     126       1       2       2    42.0 27.5490 35.1789   211.2 27.5392 35.1823   211.8    2.40    4.12    0.06    0.49   1.613   0.926   0.973   -0.95  1.8260  -999.0    -9.0    -9.0    -9.0   -9.00   0.011    0.15  0.0090  -999.0   -9.00 2262222222822299999 2262222222222299999
