EXPOCODE 316N145_5 WHP-ID I08S, I09S  DATES 120194-011995              20090518CCHDOSIODM                                                                                                                                                                                                      *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDRAW  CTDPRS  CTDTMP  CTDSAL  CTDOXY   THETA  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12  TRITUM  HELIUM  DELC14  TCARBN  ALKALI  C14ERR  DELC13  DELHE3  DELHER  HELIER    NEON  NEONER  TRITER              QUALT1              QUALT2
                                            DBAR IPTS-68  PSS-78 UMOL/KG IPTS-68  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG      TU NMOL/KG  /MILLE UMOL/KG UMOL/KG  /MILLE  /MILLE  PERCNT  PERCNT NMOL/KG NMOL/KG NMOL/KG      TU                                       *
                         *******                         ******* *******         ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******         ******* *******                 *******                                                       *
       4       1       5  SIH032 18146.8  1820.0  2.8238 34.6585   151.8  2.6907 34.6620   152.2   92.00   33.57    0.00    2.42  -9.000  -9.000   0.181  1.9570  -168.6  2273.5  2362.5     2.7    0.35   10.98    0.12  0.0020   8.290   0.029   0.007 2222222229942222222 2222222229942222222
       4       1       4  SIH033 19119.8  1917.9  2.4735 34.7013   156.9  2.3367 34.7019   159.0  100.04   33.01    0.00    2.38   0.013   0.016  -9.000 -9.0000  -999.0    -9.0  2375.9    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222223355992999 2222222223355992999
       4       1       3  SIH037 19120.2  1917.9  2.4736 34.7014   156.9  2.3369 34.7062   159.7  100.91   32.89    0.00    2.38  -9.000  -9.000   0.003  1.9750  -170.6  2277.7  2375.3     2.8    0.37   10.84    0.12  0.0020   8.276   0.025   0.004 2222222229942262222 2222222229942262222
       4       1       1  SIH036 19309.0  1937.0  2.4353 34.7053   157.3  2.2975 34.7062   160.2  100.44   32.84    0.00    2.37   0.006   0.005   0.264  1.9000  -176.7  2278.4  2390.7     2.3    0.33   12.73    0.12  0.0020   8.114   0.045   0.007 3222222222242262222 2222222222242262222
       4       1       2  SIH035 19319.6  1938.0  2.4380 34.7049   157.4  2.3000 34.7048   159.8  100.91   32.84    0.00    2.37   0.026   0.012  -9.000 -9.0000  -999.0  2275.8  2382.3    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2232222223355922999 2232222223355922999
       5       1      21  SIH016  1581.0   154.0 13.3162 35.2933   233.9 13.2946 35.2917   237.4    1.75    5.52    0.04    0.56   3.266   1.608  -9.000 -9.0000  -999.0  2087.3  2318.1    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222222255962999 2222222222255962999
       5       1      20  SIH017  2087.6   204.9 12.8484 35.2431   229.7 12.8203 35.2434   233.3    2.13    6.97    0.01    0.64   3.253   1.604  -9.000 -9.0000  -999.0  2095.1  2313.1    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222222255922999 2222222222255922999
       5       1      19  SIH018  2580.2   254.4 12.0723 35.1109   235.7 12.0389 35.1126   238.0    2.86    8.68    0.01    0.75   3.362   1.614  -9.000 -9.0000  -999.0  2098.3  2305.6    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222222255922999 2222222222255922999
       5       1      18  SIH019  3077.8   304.5 11.7059 35.0521   241.9 11.6666 35.0553   239.8    3.24    9.36    0.01    0.79  -9.000  -9.000  -9.000 -9.0000  -999.0  2099.0    -9.0    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222229955929999 2222222229955929999
       5       1      17  SIH020  3570.7   354.1 11.2998 34.9876   244.7 11.2551 34.9870   242.3    3.64   10.19    0.01    0.85  -9.000  -9.000  -9.000 -9.0000  -999.0  2099.4    -9.0    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222229955929999 2222222229955929999
       5       1      16  SIH021  4083.4   405.6 11.0239 34.9523   245.2 10.9734 34.9512   241.6    3.68   10.73    0.01    0.88   3.337   1.620  -9.000 -9.0000  -999.0  2101.7  2301.1    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222222255922999 2222222222255922999
       5       1      15  SIH022  4576.3   455.2 10.6425 34.8929   246.7 10.5869 34.8934   242.0    4.07   11.64    0.00    0.94   3.369   1.600  -9.000 -9.0000  -999.0  2104.7  2320.0    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222222255923999 2222222222255923999
       5       1      14  SIH023  5071.1   504.9 10.3379 34.8470   246.1 10.2773 34.8467   241.4    4.28   12.40    0.00    0.99  -9.000  -9.000  -9.000 -9.0000  -999.0  2106.6  2297.5    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222229955922999 2222222229955922999
